anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
1952,Alice Hoffman,2008-04-01T03:28:50.625462,85,241
1933,Philip G. Zimbardo,2008-04-01T03:28:50.625462,148,242
1971,Jeff Kinney,2008-04-29T15:03:11.581851,125,243
,,,18,244
,,,,245
1960,David Baldacci,2008-04-01T03:28:50.625462,184,246
1972,Rebecca Skloot,2009-09-03T13:34:59.507513,7,247
1964,Rick Riordan,2008-04-01T03:28:50.625462,95,248
,Ruby Roth,2009-04-28T02:05:21.311378,7,249
1824,"Collins, Wilkie",2008-04-01T03:28:50.625462,687,250
1967,Joel C. Rosenberg,2008-04-01T03:28:50.625462,37,251
1952,Alice Hoffman,2008-04-01T03:28:50.625462,85,252
1975,Gena Showalter,2008-04-30T09:38:13.731961,375,253
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,254
1957,Joshua Hammer,2008-04-29T15:03:11.581851,11,255
,Steve Berry,2008-09-17T18:48:51.369780,203,256
,Gitta Sereny,2008-04-01T03:28:50.625462,25,257
,Sarah Hilary,2019-07-19T05:19:14.816405,19,258
1904,"Cook, Ida",2008-04-01T03:28:50.625462,129,259
1934,Piers Anthony,2008-04-01T03:28:50.625462,285,260
1981,Joshua Williamson,2010-03-27T04:52:23.624674,195,261
,Anna Quindlen,2008-04-01T03:28:50.625462,151,262
1952,Walter Isaacson,2008-04-01T03:28:50.625462,23,263
,Richard Evershed,2019-07-19T11:47:46.007154,1,264
1916,"Dahl, Roald.",2008-04-01T03:28:50.625462,746,265
,Gō Ikeyamada,2019-05-23T06:01:20.409612,28,266
,Jem Lester,2019-07-19T23:04:50.876178,2,267
,,,1,268
1921,Patricia Highsmith,2008-04-01T03:28:50.625462,370,269
1978,"King, Tom",2008-04-01T03:28:50.625462,143,270
1960,Scott Lobdell,2008-04-01T03:28:50.625462,179,271
,Jerry Dennis,,21,272
,,2020-08-24T06:47:34.699107,2,273
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,274
1920,"Hailey, Arthur.",2008-04-01T03:28:50.625462,20,275
,Leila Sales,2010-11-29T19:26:41.654393,18,276
1971,Jeff Kinney,2008-04-29T15:03:11.581851,125,277
1930,Buzz Aldrin,2008-04-01T03:28:50.625462,36,278
1974,Masashi Kishimoto,2008-04-29T15:03:11.581851,711,279
1956,Elizabeth Strout,2008-04-01T03:28:50.625462,35,280
,,2021-06-22T03:45:19.833622,1,281
,Robin Reul,2019-07-19T13:49:18.758670,2,282
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,283
,Alec Robertson,2011-08-08T19:44:39.967555,22,284
,,,22,285
,Terry Farish,,14,286
1983,Jessica Knoll,2016-07-19T18:30:42.691200,8,287
,Cathy Camper,,11,288
,,2008-04-29T15:03:11.581851,10,289
1901,Barbara Cartland,2008-04-01T03:28:50.625462,1519,290
,,,,291
,Nancy White Carlstrom,2008-04-01T03:28:50.625462,67,292
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,293
1972,Gwyneth Paltrow,2008-04-30T09:38:13.731961,22,294
1916,John Clagett,2008-04-01T03:28:50.625462,18,295
,,2016-10-14T20:53:25.506015,3,296
,Terry Hayes,,21,297
,,2014-04-02T07:46:29.605708,8,298
,Becca Fitzpatrick,2009-05-15T13:27:30.323513,84,299
,Katie Ruggle,2019-05-23T21:16:11.600125,18,300
1949,Ron Chernow,2008-04-01T03:28:50.625462,17,301
,,,,302
1863,Arthur Machen,2008-04-01T03:28:50.625462,353,303
,Kathleen Grissom,2009-05-16T10:43:33.997501,9,304
1865,"Mason, A. E. W.",2008-04-01T03:28:50.625462,218,305
1841,"Hudson, W. H.",2008-04-01T03:28:50.625462,275,306
,Tamara Ireland Stone,2012-02-29T12:10:41.363437,18,307
1933,Jessica Steele,2008-04-01T03:28:50.625462,141,308
,Cece Bell,,43,309
,,2008-04-29T13:35:46.876380,23,310
,Jason Wrobel,2019-07-19T13:22:20.562289,1,311
,Mary G. Enig,,3,312
,Kurt Dinan,2019-07-19T13:49:02.136680,4,313
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,314
1964,Rick Riordan,2008-04-01T03:28:50.625462,95,315
,,2020-04-23T16:35:29.419320,16,316
,,2022-06-17T18:11:15.809096,1,317
